,Node,Topic,Size,Msg Received,Msg Late,Msg Too Late,Msg Lost,Mean,Std,Min,Max,Freq,Throughput,Pub/Sub Type,Architecture,RMW,Test Duration,CPU Stress,IPC
232,obstacle_detector,repulsive_vector,24,0,0,0,0,90,310,23,7394,10,0.234652,Publisher,simple,zenoh,60,high,0
233,object_tracker,attractive_vector,24,0,0,0,0,148,580,29,10190,10,0.234538,Publisher,simple,zenoh,60,high,0
234,ai_detector,out_detection_2d,2928,0,0,0,0,135,330,39,4258,10,28.6038,Publisher,simple,zenoh,60,high,0
235,camera,camera_info,376,0,0,0,0,104,528,20,12254,25,8.74497,Publisher,simple,zenoh,60,high,0
236,camera,rgb_image,921600,0,0,0,0,5349,5765,1143,54160,25,22475.9,Publisher,simple,zenoh,60,high,0
237,laser,scan,8728,0,0,0,0,118,571,24,9258,10,84.1354,Publisher,simple,zenoh,60,high,0
238,follower,attractive_vector,24,600,1,0,0,230,362,97,6472,10,0.234404,Subscription,simple,zenoh,60,high,1
239,follower,repulsive_vector,24,600,0,0,0,269,311,105,4565,10,0.234382,Subscription,simple,zenoh,60,high,1
240,obstacle_detector,scan,8728,600,0,0,0,250,164,113,2124,10,85.2374,Subscription,simple,zenoh,60,high,1
241,object_tracker,out_detection_2d,2928,600,5,0,0,325,884,104,18001,10,28.605,Subscription,simple,zenoh,60,high,1
242,ai_detector,camera_info,376,1500,5,2,0,351,1235,80,29258,25,9.19561,Subscription,simple,zenoh,60,high,1
243,ai_detector,rgb_image,921600,1500,5,2,0,352,991,88,21778,25,22536.5,Subscription,simple,zenoh,60,high,1
244,base_controller,cmd_vel,48,600,4,1,0,404,2132,110,38187,10,0.469833,Subscription,simple,zenoh,60,high,1
245,follower,cmd_vel,48,0,0,0,0,79,72,27,1099,10,0.468779,Publisher,simple,zenoh,60,high,1
246,obstacle_detector,repulsive_vector,24,0,0,0,0,73,65,26,746,10,0.234376,Publisher,simple,zenoh,60,high,1
247,object_tracker,attractive_vector,24,0,0,0,0,66,69,18,1035,10,0.23438,Publisher,simple,zenoh,60,high,1
248,ai_detector,out_detection_2d,2928,0,0,0,0,74,105,24,1621,10,28.5966,Publisher,simple,zenoh,60,high,1
249,camera,camera_info,376,0,0,0,0,64,99,18,2399,25,9.18,Publisher,simple,zenoh,60,high,1
250,camera,rgb_image,921600,0,0,0,0,60,87,16,2352,25,22502.5,Publisher,simple,zenoh,60,high,1
251,laser,scan,8728,0,0,0,0,67,53,21,727,10,85.2355,Publisher,simple,zenoh,60,high,1
