,Node,Topic,Size,Msg Received,Msg Late,Msg Too Late,Msg Lost,Mean,Std,Min,Max,Freq,Throughput,Pub/Sub Type,Architecture,RMW,Test Duration,CPU Stress,IPC
47,ai_detector,rgb_image,921600,1500,0,0,0,211,157,45,1725,25,22500.4,Subscription,simple,fast,60,medium,1
48,base_controller,cmd_vel,48,600,0,0,0,322,185,101,1647,10,0.468757,Subscription,simple,fast,60,medium,1
49,follower,cmd_vel,48,0,0,0,0,110,65,36,467,10,0.468752,Publisher,simple,fast,60,medium,1
50,obstacle_detector,repulsive_vector,24,0,0,0,0,92,62,28,457,10,0.234375,Publisher,simple,fast,60,medium,1
51,object_tracker,attractive_vector,24,0,0,0,0,71,66,11,633,10,0.234375,Publisher,simple,fast,60,medium,1
52,ai_detector,out_detection_2d,2928,0,0,0,0,91,58,28,378,10,28.5938,Publisher,simple,fast,60,medium,1
53,camera,camera_info,376,0,0,0,0,93,70,18,644,25,9.17973,Publisher,simple,fast,60,medium,1
54,camera,rgb_image,921600,0,0,0,0,66,54,12,1028,25,22500.2,Publisher,simple,fast,60,medium,1
55,laser,scan,8728,0,0,0,0,96,66,24,581,10,85.2345,Publisher,simple,fast,60,medium,1
56,follower,attractive_vector,24,601,69,0,0,1556,3479,52,44460,10,0.234556,Subscription,simple,fast,60,high,0
57,follower,repulsive_vector,24,601,55,0,0,1427,3216,68,48863,10,0.234621,Subscription,simple,fast,60,high,0
58,obstacle_detector,scan,8728,598,76,0,0,1692,3450,92,27875,10,84.9608,Subscription,simple,fast,60,high,0
59,object_tracker,out_detection_2d,2928,601,60,1,0,1567,3374,97,36064,10,28.6107,Subscription,simple,fast,60,high,0
60,ai_detector,camera_info,376,1485,156,1,0,1558,3530,57,39915,25,9.09598,Subscription,simple,fast,60,high,0
61,ai_detector,rgb_image,921600,1496,227,3,0,2349,4002,249,37764,25,22453.7,Subscription,simple,fast,60,high,0
62,base_controller,cmd_vel,48,601,65,0,0,1525,3331,77,35276,10,0.4693,Subscription,simple,fast,60,high,0
63,follower,cmd_vel,48,0,0,0,0,508,1353,11,7079,10,0.469294,Publisher,simple,fast,60,high,0
64,obstacle_detector,repulsive_vector,24,0,0,0,0,483,1368,9,8817,10,0.234605,Publisher,simple,fast,60,high,0
65,object_tracker,attractive_vector,24,0,0,0,0,593,1605,7,10605,10,0.234555,Publisher,simple,fast,60,high,0
66,ai_detector,out_detection_2d,2928,0,0,0,0,498,1454,22,16491,10,28.6067,Publisher,simple,fast,60,high,0
67,camera,camera_info,376,0,0,0,0,473,1332,10,8181,25,9.09523,Publisher,simple,fast,60,high,0
68,camera,rgb_image,921600,0,0,0,0,756,1676,80,30468,25,22452.5,Publisher,simple,fast,60,high,0
69,laser,scan,8728,0,0,0,0,676,1655,17,7373,10,84.9598,Publisher,simple,fast,60,high,0
70,follower,attractive_vector,24,601,2,0,0,325,721,72,14179,10,0.234577,Subscription,simple,fast,60,high,1
71,follower,repulsive_vector,24,601,2,0,0,335,809,66,15721,10,0.234736,Subscription,simple,fast,60,high,1
72,obstacle_detector,scan,8728,600,0,0,0,253,326,76,4664,10,85.2427,Subscription,simple,fast,60,high,1
73,object_tracker,out_detection_2d,2928,601,3,0,0,357,1129,79,20950,10,28.6419,Subscription,simple,fast,60,high,1
74,ai_detector,camera_info,376,1497,5,0,0,320,827,68,23019,25,9.16599,Subscription,simple,fast,60,high,1
75,ai_detector,rgb_image,921600,1499,6,0,0,327,807,67,18890,25,22492.0,Subscription,simple,fast,60,high,1
76,base_controller,cmd_vel,48,601,8,0,0,683,2956,80,46942,10,0.469524,Subscription,simple,fast,60,high,1
77,follower,cmd_vel,48,0,0,0,0,102,370,18,8498,10,0.469219,Publisher,simple,fast,60,high,1
